Nr.;Autor;Titel;Format;Inhaltsbeschreibung;Genre;Verlag;Sprache;Zustand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1110;Mönch, Jochen;Freie Hansestadt Bremen;Hardcover mit Einband;;Bildband;Schünemann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1111;Wolterstädt, Kurt;Spaziergang durch die Geschichte Berlins;Hardcover mit Einband;;Bildband;;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1112;Williams, Brenda;Daten Fakten & Rekorde;Hardcover;;Sachbuch;Delphin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1113;-;Guiness Buch der Rekorde 1989;Hardcover;;Sachbuch;Ullstein;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1114;-;Veritas;Hardcover;;Bildband;Europoli;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1115;Risch, Helmut;Windschiffe;Hardcover;;Sachbuch;VEB Verlag Technik Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1116;Kürten, Dieter;Fussball EM 88 in Deutschland;Hardcover;;Bildband;;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1117;König, Hermann;Die Alpen;Hardcover;;Bildband;Pinguin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1118;-;Olympische Spiele 1972;Hardcover mit Einband;;bildband;Sportverlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1119;-;München 72;Hardcover mit Einband;;Bildband;Olympische Sport Bibliothek;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1120;-;Die Jesusgeschichte;Hardcover;;Glaubensschrift;Württembergische Bibelanstalt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1121;Graf, Oskar Maria;Die Heimsuchung;Hardcover;;Roman;Buchgemeinde Bonn;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1122;Spohr, Wilhelm;Die Narrenschaukel;Leinen;;Anekdoten;Scherl Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1123;Thiek, Frank;Das Tor zur Welt;Hardcover;;Roman;Engelhorn Stuttgart;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1124;Fazaun, Ludwig;Jungenstreiche und andere Geschichten;Hardcover;;Geschichten;Bachem;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1125;Weber, Aloys;Die Ordensseele vor jesus;Hardcover;;Glaubensschrift;;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1126;Stieglitz, Heinrich;Die religiöse Fortbildung der Jugendlichen;Hardcover;;Glaubensschrift;Köselsche Kempten;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1127;Scheffel, Victor;Essehard;Hardcover;;Erzählungen;Martin Maschler Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1128;Baur, Benedikt;Werde Licht;Hardcover;;Glaubensschrift;Herder;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1129;Wroblewska, mia Munier;Gottes Zeit ist die allerbeste zeit;Hardcover;;Glaubensschrift;Eugen Salzer;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1130;Wollmer, Walter;Die Schenke zur ewigen Liebe;Hardcover;;Roman;Proppläen Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1131;Nigg, Walter;Vom beispelhaften Leben;Hardcover mit Einband;;Sachbuch;Bonner Buchgemeinde;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1132;Illies, Joachim;Gottes Welt in unserer Hand;Paperback;;Sachbuch;Herder;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1133;Anselm, Josef;Gottes Sonne, 1x täglich;Paperback;;Glaubensschrift;Herder;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1134;Thorwald, Jürgen;Es begann an der Weichsel;Leinen;;Roman, Krieg;Bertelsmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1135;-;Fröhlich sein und singen...;Paperback;;Liedersammlung;Eulenspiegel;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1136;Leihberg, Arne;Kleine Stricheleien;Paperback;;Karikturen;Praesentverlag;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1137;Geßner, Georg;Witzig, sehr witzig, Herr Pfarrer;Hardcover;;Witzebuch;Edition Aktuell;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1138;Helm, Inge;Haste Töne Kinder, Komik, Katastrophen;Paperback;;Humor;Rowohlt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1139;Freire, Paulo;Der Lehrer ist Politiker und Künstler;Paperback;;Humor;Rowohlt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1140;-;Mach es wie die Sonnenuhr...;Paperback;;Geschichten;Herder;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1141;Breinholst, Willy;Guck mal, Mami, Guck mal, Papi;Paperback;;Humor;Bastei Lübbe;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1142;Scherf Clavel, Anneliese;Ich wollt ich wär ein Kakadu;Hardcover;;Gedichte;Konrad Theiss Verlag;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1143;-;1000 klassische Witze;Hardcover mit Einband;;Witzebuch;Herbig;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1144;-;Da lacht die ganze Schule;Hardcover;;Witzebuch;Carl Ueberreuter;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1145;-;Manta Witze und Cartoons;Paperback;;Witzebuch;Heel;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1146;Beyer;Cartoons für Lehrer;Hardcover;;Karikturen;Lappan;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1147;-;Cicero Orationes;Paperback;;Ballade;Klett;Latein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1148;-;Vergilius;Paperback;;Ballade;Schöningh;Latein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1149;Cicero, Tullius;In L. Catilinam Orationes Quattuor;Paperback;;Ballade;Schöningh;Latein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1150;Hacks, Peter;Meta Morfoß;Hardcover;;Kinderbuch;Kinderbuchverlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1151;Schmidt, Egon;Der Storch von Landow;Hardcover;;Kinderbuch;Kinderbuchverlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1152;Spender, Waldemar;Als Flups kleiner wurde;Hardcover;;Kinderbuch;Kinderbuchverlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1153;Babel, Isaak;Tagebuch 1920;Leinen;;Erinnerungen;Friedenauer Presse;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1154;Child, Lee;Ausgeliefert;Paperback;Jack Reacher - Band 2;Roman;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1155;Ani, Friedrich;Süden und das Geheimnis der Königin;Paperback;;Krimi;Knaur;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1156;Fois, Marcello;Die blaue Zunge;Paperback;;Krimi;Diana;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1157;Follet, Ken;Der dritte Zwilling;Hardcover;;Roman;Bertelsmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1158;Der Liebesbetrug;Rendell, Ruth;Paperback;;Roman;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1159;Fielding, Joy;Lebenslang ist nicht genug - Ein mörderischer Sommer;Paperback;;Roman;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1160;Kimball, Michael;Dunkle Tränen;Paperback;;Roman;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1161;Abel, Barbara;Tödliche Hoffnung;Paperback;;Krimi;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1162;Merle, Robert;Die Insel;Paperback;;Abenteuerroman;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1163;Baldacci, David;Die Verschwörung;Paperback;;Thriller;Bastei Lübbe;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1164;Hague, Graeme;Opfergabe;Paperback;;Thriller;Weltbild;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1165;Mankell, Henning;Mörder ohne Gesicht;Paperback;1. Fall Wallander;Krimi, Skandinavien;dtv;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1166;Grace, Celia;Die Heilering von Canterbury;Paperback;;Roman;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1167;Hoffman, Jilliane;Cupido;Paperback;;Thriller;Rowohlt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1168;Fitzek, Sebastian;Splitter;Paperback;;Thriller, Psycho;Knaur;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1169;Fitzek, Sebastian;Die Therapie;Paperback;;Thriller, Psycho;Club;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1170;Thiesler, Sabine;Hexenkind;Paperback;;Thriller;Club;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1171;Grimes, Martha;Das Mädchen ohne Namen;Paperback;;Krimi;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1172;Sheldon, Sidney;Das nackte Gesicht / Kirschblüten und Coca Cola;Hardcover;;Thriller;Weltbild;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1173;Patenburg, Vitalis;Werner von Siemens - Abenteuer Elekrizität;Hardcover mit Einband;;Sachbuch;Ensslin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1174;Lescroart, John T;Das Indiz;Hardcover;;Roman;C. Bertelsmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1175;Reilly, Matthew;Ice Station/ Der Tempel;Paperback;;Thriller;Ullstein;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1176;Higgins Clark, Mary;Das Haus am Potomac;Paperback;;Roman;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1177;Link, Charlotte;Das Haus der Schwestern;Paperback;;Roman;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1178;Granger, Ann;Ein Hauch von Sterblichkeit;Paperback;;Kriminalroman;Bastei Lübbe;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1179;Klüpfel, Voker & Kobr, Michael;Rauhnacht;Hardcover mit Einband;Kluftinger - 5. Fall;Kriminalroman;Piper;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1180;Falk, Rita;Winter-Kartoffel-Knödel;Paperback;Eberhofer - 01. Fall;Krimi, Lokal;dtv;Deutsch;Mini-Buch-Format;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1181;Berndorf, Jacques;Eifel-Blues;Hardcover;Siggi Baumeister - 01;Krimi, Lokal;RM;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1182;Christie, Agatha;Der letzte Joker;Hardcover;;Kriminalroman;Scherz Verlag;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1183;Christie, Agatha;Das Sterben in Wychwood;Hardcover;;Kriminalroman;Scherz Verlag;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1184;Christie, Agatha;Rendevzvous mit einer Leiche / Ein diplomatischer Zwischenfall;Hardcover mit Einband;;Kriminalroman;C. Bertelsmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1185;Mankell, Henning;Hunde von Riga;Hardcover mit Einband;Wallander - 02;Krimi, Skandinavien;RM;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1186;Mankell, Henning;Wallanders erster Fall;Hardcover mit Einband;Wallander - 09;Krimi, Skandinavien;RM;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1187;Katzenbach, John;Die Rache;Hardcover mit Einband;;Thriller, Psycho;H+L Verlag;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1188;Erhardt, Heinz;Satierliches;Paperback;;Comedy;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1189;Erhardt, Heinz;Das große Heinz Erhardt Buch;Hardcover mit Einband;;Comedy;Fackelträger;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1190;Higgins Clark, Mary;Das Haus auf den Klippen;Paperback;;Kriminalroman;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1191;Rendell, Ruth;Der Tod fällt aus dem Rahmen;Paperback;;Kriminalroman;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1192;Davidson, Diane Mott;Mord à la carte;Paperback;;Kriminalroman;Econ & List;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1193;Fontane, Theodor;Effie Briest;Hardcover;;Roman;Kaiser;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1194;Jackson Braun, Lilian;Die Katze, die rückwärts lesen konnte/ Die Katze, die in den Ohrensessel biss;Hardcover;;Krimi;RM;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1195;Jackson Braun, Lilian;Die Katze, die das Licht löschte/ Die Katze, die rot sah;Hardcover;;Krimi;RM;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1196;Jackson Braun, Lilian;Die Katze, die Brahms spielte/ Die Katze, die Postbote spielte;Hardcover;;Krimi;RM;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1197;Hallaway, Tare;Beiss noch einmal mit Gefühl;Paperback;;Liebesroman;LYX;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1198;Fawer, Adam;Gnosis;Paperback;;Thriller;Rowohlt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1199;King, Stephen;Dolores;Paperback;;Horror;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1200;Robins, Harold;Die Bosse;Hardcover;;Roman;Scherz;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1201;Bagley, Desmond;Blindlings;Paperback;;Thriller;Bastei Lübbe;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1202;Charriere, Henri;Papillon;Hardcover;;Roman;Fritz Molden;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1203;Gies, Martin;Schimanski - Gebrochene Blüten;Paperback;;Krimi;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1204;MacLean, Alistair;Partisanen;Paperback;;Roman;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1205;Braunburg, Rudolf;Die letzte Fahrt der Hindenburg;Paperback;;Roman;Moewig;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1206;Wilson, Robert;Tod in Lissabon;Paperback;;Roman;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1207;Thomas, Craig;Schneefalke;Paperback;;Roman;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1208;Stine, R.L.;Gänsehaut 25 - Der Werwolf aus den Fiebersümpfen;Paperback;Gänsehaut Folge: 25;Horror;Omnibus;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1209;Truman, Margaret;Mord im Weissen Haus;Paperback;;Krimi;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1210;Folsom, Allan;Des Teufels Kardinal;Paperback;;Thriller;Blanvalet;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1211;Dorn, Thea;Die Brut;Hardcover mit Einband;;Roman;Manhattan;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1212;O`Connell, Carol;Tödliche Geschenke;Paperback;;Thriller;BTB;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1213;Fennelly, Tony;Kreuzfahrt mit Biss;Paperback;;Krimi;Rotbuch;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1214;Cleave, Paul;Der siebte Tod;Paperback;;Thriller;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1215;Adams, Jane;Die Stimme der Toten;Paperback;;Krimi;Universo;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1216;Maurer, Jörg;Niedertracht;Paperback;3. Fall - Jennerwein;Krimi;Fischer;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1217;Wilson, F. Paul;Die Prüfung;Hardcover mit Einband;;Thriller;C. Bertelsmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1218;Buffett, Jimmy;Cuba libre;Hardcover mit Einband;;Roman;Ulstein;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1219;Pearson, Ridley;Spur ohne Schatten;Hardcover mit Einband;;Krimi;C. Bertelsmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1220;Moore, Michael;Stupid White Men;Paperback;;Sachbuch;Piper;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1221;London, Jack;Der Ruhm des Kämpfers;Hardcover mit Einband;;Abenteuerroman;Tribüne Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1222;Gies, Martin;Schimanski - Gebrochene Blüten;Paperback;;Krimi;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1223;Hales, Jonathan;The Scorpion King;Paperback;;Fantasy;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1224;Hitchcock, Alfred;Die drei ??? Und der Super-Papagei;Hardcover;???;Kinderbuch;Franckh;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1225;Benchley, Peter;Der weisse Hai;Hardcover;;Horror;Ullstein;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1226;Day, David;Tolkien Eine illustriete Enzyklopädie;Hardcover mit Einband;;Lexikon;RVG;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1227;Fonstad, Karen Wynn;Historischer Atlas von Mittelerde;Hardcover;;Sachbuch;Klett-Cotta;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1228;Anderson, James;Mord ist ihr Hobby - Liebhaber und andere Mörder;Paperback;;Krimi;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1229;Wood, Barbara;Die Prophetin;Hardcover mit Einband;;Roman;Krüger;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1230;Cuthbert, Margaret;Wiege der Angst;Paperback;;Roman;Blanvalet;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1231;Martigli, Carola;999 der letzte Wächter;Paperback;;Roman;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1232;Scholl-Latour, Peter;Zwischen den Fronten;Paperback;;Biografie;Ullstein;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1233;Bronte, Charlotte;Jane Eyre;Paperback;;Roman;Penguin Books;Englisch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1234;Orwell, George;Farm der Tiere;Paperback;;Fabel;Diogenes;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1235;Lawrence, D.H.;Lady Chatterley;Paperback;;Roman;Aufbau Verlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1236;Cannell, Dorothy;Der Putzteufel geht um;Paperback;;Krimi;Econ & List;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1237;Manet, Juliette;Wehrlos;Paperback;;Thriller;Diana;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1238;Navarro, Julia;Die Stumme Bruderschaft;Paperback;;Thriller;Blanvalet;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1239;Hohlbein, Wolfgang;Azrael;Paperback;;Horror;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1240;Traven, B;Das Totenschiff;Leinen;;Abenteuerroman;Büchergilde Gutenberg;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1241;McDermid, Val;Die Erfinder des Todes / Tödliche Worte;Paperback;;Krimi;Weltbild;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1242;Rawitsch, Slavomir;Flucht durch Steppe und Wüste;Leinen;;Abenteuerroman;Büchergilde Gutenberg;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1243;Traven, B;Der Schatz der Sierra Madre;Leinen;;Abenteuerroman;Büchergilde Gutenberg;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1244;D'Amato, Brian;2012 - Tag der Prophezeiung;Paperback;;Fantasy;Lübbe;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1245;Highsmith, Patricia;Die zwei Gesichter des Januars;Paperback;;Thriller;Diogenes;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1246;Highsmith, Patricia;Venedig kann sehr kalt sein;Paperback;;Thriller;Diogenes;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1247;MacDonald, Ross;Unter Wasser stirbt man nicht;Paperback;;Krimi;Diogenes;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1248;Küstenmacher, Werner Tiki;Simplify your life;Paperback;;Ratgeber;Knaur;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1249;Lindsey, David;Abgründig;Hardcover;;Roman;Scherz;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1250;May, Karl;Im Tal des Todes;Paperback;;Abenteuer;Ueberreuter;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1251;May, Karl;Am Stillen Ozean;Hardcover;;Abenteuer;Neuer Jugendschriften Verlag;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1252;May, Karl;Von Bagdad nach Stambul  In den Schluchten des Balkan;Halbleder;;Abenteuer;Neuer Jugendschriften Verlag;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1253;May, Karl;Winnetou 1;Hardcover;;Western;Bertelsmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1254;May, Karl;Winnetou 2;Hardcover;;Western;Bertelsmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1255;May, Karl;Durch die Wüste;Hardcover;;Abenteuer;Bertelsmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1256;May, Karl;Unter Geiern;Hardcover;;Western;Bertelsmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1257;Ludlum, Robert;Die Scorpio Illusion;Paperback;;Thriller;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1258;Robbin, Harold;Die Aufsteiger;Hardcover;;Thriller;Gruenwald;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1259;Connelly, Michael;Schwarzes Echo;Paperback;;Roman;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1260;Wallraff, Günter;Reportagen 1963 - 1974;Paperback;;Reportage;Kiwi;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1261;Sheldon, Sidney;Die letzte Verschwörung;Hardcover;;Thriller;Weltbild;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1262;Sheldon, Sidney;Diamanten Dynastie;Hardcover;;Thriller;Weltbild;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1263;Stone, Nick;Voodoo;Paperback;;Thriller;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1264;Cataldo, Gaincarlo;Suburra - Schwarzes Herz von Rom;Hardcover mit Einband;;Thriller;Folio;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1265;Gunn, Victor;Der Tod hat eine Chance;Paperback;;Krimi;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1266;Lescroart, John T;Der Vertraute;Paperback;;Thriller;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1267;Kormos, Istvan;Die Wunderflöte;Hardcover;;Märchen;Kinderbuchverlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1268;London, Cait;Dunkel ist die Nacht;Paperback;;Roman;Weltbild;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1269;Greene, Graham;Our Man in Havana;Paperback;;Roman;Penguin Books;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1270;Brezina, Thomas;Rätsel um das Schneemonster;Paperback;;Kinderbuch;C. Bertelsmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1271;Wallace, Edgar;Das Silberne Dreieck und Der Mann, der zweimal starb;Hardcover;;Krimi;C. Bertelsmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1272;Kästner, Erich;Die verschwundene Miniatur;Hardcover mit Einband;;Krimi;Büchergilde Gutenberg;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1273;Musäus;Märchen und Sagen;Hardcover;;Märchen;Kösel Verlag;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
